編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPPRMLLKNHGGFBB27CB,坡道平面,1170000,30.05,
RPXQMLLKNHGGFBB97CB,坡道平面,1350000,30.05,
RPSQMLLKNHGGFBB47CB,坡道平面,1450000,30.05,
RPWQMLLKNHGGFBB87CB,坡道平面,1350000,30.05,
RPUQMLLKNHGGFBB67CB,坡道平面,1350000,30.05,
RPURMLLKNHGGFBB77CB,坡道平面,1350000,30.05,
RPTQMLLKNHGGFBB57CB,坡道平面,1350000,30.05,
RPORMLLKNHGGFBB17CB,坡道平面,1450000,30.05,
RPVRMLLKNHGGFBB87CB,坡道平面,1350000,30.05,
RPQRMLLKNHGGFBB37CB,坡道平面,1350000,30.05,
RPWRMLLKNHGGFBB97CB,坡道平面,1450000,30.05,
RPXRMLLKNHGGFBB08CB,坡道平面,1450000,30.05,
RPQSMLLKNHGGFBB47CB,坡道平面,1450000,30.05,
RPPTMLLKNHGGFBB47CB,坡道平面,1450000,30.05,
RPSSMLLKNHGGFBB67CB,坡道平面,1350000,30.05,
RPQTMLLKNHGGFBB57CB,坡道平面,1350000,30.05,
RPRSMLLKNHGGFBB57CB,坡道平面,1450000,30.05,
RPUSMLLKNHGGFBB87CB,坡道平面,1450000,30.05,
RPUUMLLKNHGGFBB08CB,坡道平面,1350000,30.05,
RPWSMLLKNHGGFBB08CB,坡道平面,1350000,30.05,
RPOTMLLKNHGGFBB37CB,坡道平面,1350000,30.05,
RPTVMLLKNHGGFBB08CB,坡道平面,1450000,30.05,
RPOWMLLKNHGGFBB67CB,坡道平面,1350000,30.05,
RPVWMLLKNHGGFBB38CB,坡道平面,1350000,30.05,
RPQWMLLKNHGGFBB87CB,坡道平面,1450000,30.05,
RPXNNLLKNHGGFBB77CB,坡道平面,1450000,30.05,
RPWNNLLKNHGGFBB67CB,坡道平面,1350000,30.05,
RPVUMLLKNHGGFBB18CB,坡道平面,1350000,30.05,
RPVVMLLKNHGGFBB28CB,坡道平面,1450000,30.05,
RPRWMLLKNHGGFBB97CB,坡道平面,1450000,30.05,
RPUWMLLKNHGGFBB28CB,坡道平面,1450000,30.05,
RPPQMLNKNHGGFDB67DB,坡道平面,1500000,37.01,
RPQOMLOKNHGGFAB27CB,坡道平面,1300000,34.60,
RPXNMLOKNHGGFAB87CB,坡道平面,1200000,33.35,
RPROMLOKNHGGFAB37CB,坡道平面,1200000,33.35,
RPSOMLOKNHGGFAB47CB,坡道平面,1200000,33.35,
RPTOMLOKNHGGFAB57CB,坡道平面,1200000,33.35,
RPUOMLOKNHGGFAB67CB,坡道平面,1200000,33.35,
RPOPMLOKNHGGFAB17CB,坡道平面,1200000,33.35,
RPTWMLLKNHGGFBB18CB,坡道平面,1350000,30.05,
